MeterID,ServiceLocationID,ESIID,ReadingDate,ReadingTime,kWh,rxKWh,KVARHImprt,KVARhExprt,kWhImprtRateA,kWhImprtRateB,kWhExprtRateA,kWhExprtRateB,kVARhImprtRateA,kVARhImprtRateB,kVARhExprtRateA,kVARhExprtRateB,kVARhTotalRateA,kVARhTotalRateB,ExprtkVARhTotalRateA,ExprtkVARhTotalRateB
1182798,,,23/01/2018,12:00:00AM,7679.000,0.000,,,3845.458,3834.276,0.074,0.000,700.000,703.000,0.000,0.000,,,,
1182799,,,23/01/2018,12:00:00AM,434.000,0.000,,,220.491,213.865,0.074,0.000,59.000,59.000,0.000,0.000,,,,
1182800,,,23/01/2018,12:00:00AM,1755.000,0.000,,,751.216,1004.331,0.074,0.000,24.000,14.000,91.000,82.000,,,,
1182801,,,23/01/2018,12:00:00AM,995.000,0.000,,,655.109,340.367,0.074,0.000,147.000,130.000,15.000,8.000,,,,
1182802,,,23/01/2018,12:00:00AM,1517.000,0.000,,,476.396,1041.488,0.074,0.000,39.000,77.000,35.000,46.000,,,,
1182803,,,23/01/2018,12:00:00AM,1168.000,0.000,,,465.512,702.743,0.074,0.000,160.000,202.000,41.000,45.000,,,,
1182804,,,23/01/2018,12:00:00AM,3298.000,0.000,,,1782.890,1515.606,0.074,0.000,52.000,44.000,93.000,88.000,,,,
1182805,,,23/01/2018,12:00:00AM,2152.000,0.000,,,1084.751,1067.749,0.074,0.000,25.000,18.000,289.000,342.000,,,,
1182806,,,23/01/2018,12:00:00AM,993.000,0.000,,,421.551,572.244,0.074,0.000,64.000,54.000,34.000,89.000,,,,
1182807,,,23/01/2018,12:00:00AM,606.000,0.000,,,306.846,299.611,0.074,0.000,0.000,0.000,17.000,12.000,,,,
1182808,,,23/01/2018,12:00:00AM,6.000,0.000,,,6.438,0.017,0.074,0.000,9.000,9.000,0.000,0.000,,,,
1182809,,,23/01/2018,12:00:00AM,2087.000,0.000,,,894.630,1193.306,0.074,0.000,312.000,285.000,35.000,73.000,,,,
1182810,,,23/01/2018,12:00:00AM,1839.000,0.000,,,925.059,914.713,0.074,0.000,128.000,102.000,21.000,23.000,,,,
1182811,,,23/01/2018,12:00:00AM,569.000,0.000,,,303.872,265.475,0.074,0.000,53.000,59.000,4.000,3.000,,,,
1182812,,,23/01/2018,12:00:00AM,2146.000,0.000,,,1137.631,1009.054,0.074,0.000,32.000,24.000,33.000,35.000,,,,
1182813,,,23/01/2018,12:00:00AM,830.000,0.000,,,224.779,605.250,0.074,0.000,116.000,278.000,0.000,0.000,,,,
1182814,,,23/01/2018,12:00:00AM,1052.000,0.000,,,338.543,713.983,0.074,0.000,102.000,157.000,17.000,16.000,,,,
1182815,,,23/01/2018,12:00:00AM,2040.000,0.000,,,822.049,1218.315,0.074,0.000,115.000,76.000,47.000,66.000,,,,
1182816,,,23/01/2018,12:00:00AM,1478.000,0.000,,,579.118,898.922,0.074,0.000,100.000,98.000,54.000,52.000,,,,
1182817,,,23/01/2018,12:00:00AM,824.000,0.000,,,247.334,576.839,0.074,0.000,10.000,28.000,38.000,26.000,,,,
1182818,,,23/01/2018,12:00:00AM,1135.000,0.000,,,267.684,867.508,0.074,0.000,183.000,257.000,7.000,8.000,,,,
1182819,,,23/01/2018,12:00:00AM,904.000,0.000,,,351.868,552.613,0.074,0.000,55.000,33.000,11.000,35.000,,,,
1182820,,,23/01/2018,12:00:00AM,604.000,0.000,,,310.955,293.433,0.074,0.000,196.000,187.000,1.000,1.000,,,,
1182821,,,23/01/2018,12:00:00AM,1670.000,0.000,,,925.333,745.134,0.074,0.000,65.000,11.000,170.000,234.000,,,,
1182822,,,23/01/2018,12:00:00AM,953.000,0.000,,,435.985,517.434,0.074,0.000,36.000,10.000,45.000,52.000,,,,
1182823,,,23/01/2018,12:00:00AM,842.000,0.000,,,390.631,452.282,0.074,0.000,143.000,128.000,20.000,25.000,,,,
1182824,,,23/01/2018,12:00:00AM,998.000,0.000,,,580.139,418.474,0.074,0.000,193.000,197.000,4.000,5.000,,,,
1182825,,,23/01/2018,12:00:00AM,2098.000,0.000,,,1158.540,939.890,0.074,0.000,86.000,121.000,13.000,2.000,,,,
1182826,,,23/01/2018,12:00:00AM,520.000,0.000,,,329.805,190.258,0.074,0.000,70.000,30.000,17.000,21.000,,,,
1182827,,,23/01/2018,12:00:00AM,1917.000,0.000,,,1077.131,840.691,0.074,0.000,295.000,251.000,1.000,0.000,,,,
1182828,,,23/01/2018,12:00:00AM,1516.000,0.000,,,519.299,997.072,0.074,0.000,203.000,148.000,10.000,54.000,,,,
1182829,,,23/01/2018,12:00:00AM,1636.000,0.000,,,757.988,878.846,0.074,0.000,114.000,237.000,47.000,38.000,,,,
1182830,,,23/01/2018,12:00:00AM,1758.000,0.000,,,876.222,881.914,0.074,0.000,51.000,56.000,83.000,55.000,,,,
1182831,,,23/01/2018,12:00:00AM,911.000,0.000,,,502.322,409.184,0.074,0.000,23.000,30.000,14.000,3.000,,,,
1182832,,,23/01/2018,12:00:00AM,833.000,0.000,,,376.724,456.875,0.074,0.000,5.000,1.000,203.000,213.000,,,,
1182833,,,23/01/2018,12:00:00AM,900.000,0.000,,,411.324,488.731,0.074,0.000,69.000,74.000,15.000,10.000,,,,
1182834,,,23/01/2018,12:00:00AM,799.000,0.000,,,439.335,360.073,0.074,0.000,140.000,94.000,2.000,6.000,,,,
1182835,,,23/01/2018,12:00:00AM,437.000,0.000,,,262.517,174.973,0.074,0.000,69.000,48.000,3.000,2.000,,,,
1182836,,,23/01/2018,12:00:00AM,1192.000,0.000,,,451.584,740.613,0.095,0.000,17.000,6.000,53.000,54.000,,,,
1182837,,,23/01/2018,12:00:00AM,413.000,0.000,,,197.656,216.164,0.074,0.000,88.000,73.000,2.000,3.000,,,,
1182838,,,23/01/2018,12:00:00AM,461.000,0.000,,,221.952,239.640,0.074,0.000,40.000,32.000,7.000,7.000,,,,
1182839,,,23/01/2018,12:00:00AM,1938.000,0.000,,,847.766,1090.556,0.074,0.000,240.000,289.000,24.000,20.000,,,,
1182840,,,23/01/2018,12:00:00AM,927.000,0.000,,,513.871,413.489,0.074,0.000,10.000,4.000,52.000,53.000,,,,
1182841,,,23/01/2018,12:00:00AM,581.000,0.000,,,343.798,237.847,0.074,0.000,8.000,6.000,28.000,20.000,,,,
1182842,,,23/01/2018,12:00:00AM,2189.000,0.000,,,1028.126,1161.454,0.074,0.000,43.000,35.000,105.000,98.000,,,,
1182844,,,23/01/2018,12:00:00AM,732.000,0.000,,,405.651,327.018,0.074,0.000,208.000,232.000,1.000,1.000,,,,
1182845,,,23/01/2018,12:00:00AM,1594.000,0.000,,,762.193,832.329,0.074,0.000,51.000,18.000,85.000,113.000,,,,
1182846,,,23/01/2018,12:00:00AM,800.000,0.000,,,280.997,519.442,0.074,0.000,23.000,39.000,22.000,28.000,,,,
1182847,,,23/01/2018,12:00:00AM,1460.000,0.000,,,594.840,865.759,0.074,0.000,36.000,22.000,94.000,159.000,,,,
1182848,,,23/01/2018,12:00:00AM,1928.000,0.000,,,763.882,1164.862,0.074,0.000,144.000,225.000,7.000,6.000,,,,
1182849,,,23/01/2018,12:00:00AM,987.000,0.000,,,508.394,478.929,0.074,0.000,51.000,70.000,15.000,11.000,,,,
1182850,,,23/01/2018,12:00:00AM,1658.000,0.000,,,687.892,971.054,0.074,0.000,120.000,227.000,7.000,6.000,,,,
1182851,,,23/01/2018,12:00:00AM,1352.000,0.000,,,682.564,669.493,0.074,0.000,170.000,312.000,6.000,6.000,,,,
1182852,,,23/01/2018,12:00:00AM,1404.000,0.000,,,649.236,755.499,0.074,0.000,71.000,89.000,130.000,116.000,,,,
1182853,,,23/01/2018,12:00:00AM,593.000,0.000,,,256.159,337.468,0.074,0.000,85.000,105.000,4.000,2.000,,,,
1182854,,,23/01/2018,12:00:00AM,407.000,0.000,,,207.504,200.305,0.074,0.000,271.000,271.000,0.000,0.000,,,,
1182855,,,23/01/2018,12:00:00AM,1047.000,0.000,,,530.914,517.053,0.074,0.000,16.000,11.000,39.000,22.000,,,,
1182856,,,23/01/2018,12:00:00AM,1296.000,0.000,,,718.498,577.854,0.074,0.000,87.000,48.000,8.000,27.000,,,,
1182857,,,23/01/2018,12:00:00AM,786.000,0.000,,,321.635,464.471,0.074,0.000,41.000,51.000,24.000,32.000,,,,
1182858,,,23/01/2018,12:00:00AM,1490.000,0.000,,,759.495,730.834,0.074,0.000,199.000,219.000,32.000,15.000,,,,
1182859,,,23/01/2018,12:00:00AM,1736.000,0.000,,,822.649,913.499,0.074,0.000,10.000,18.000,236.000,224.000,,,,
1182860,,,23/01/2018,12:00:00AM,801.000,0.000,,,292.776,508.328,0.074,0.000,161.000,191.000,12.000,16.000,,,,
1182861,,,23/01/2018,12:00:00AM,1866.000,0.000,,,1039.145,827.773,0.074,0.000,60.000,89.000,63.000,49.000,,,,
1182862,,,23/01/2018,12:00:00AM,1175.000,0.000,,,578.110,597.022,0.074,0.000,136.000,161.000,48.000,40.000,,,,
1182863,,,23/01/2018,12:00:00AM,457.000,0.000,,,326.638,130.705,0.074,0.000,52.000,52.000,7.000,1.000,,,,
1182864,,,23/01/2018,12:00:00AM,1356.000,0.000,,,624.530,731.684,0.074,0.000,255.000,259.000,5.000,4.000,,,,
1182865,,,23/01/2018,12:00:00AM,641.000,0.000,,,303.685,337.593,0.074,0.000,82.000,90.000,22.000,21.000,,,,
1182866,,,23/01/2018,12:00:00AM,1266.000,0.000,,,569.783,697.037,0.074,0.000,55.000,60.000,70.000,56.000,,,,
1182867,,,23/01/2018,12:00:00AM,637.000,0.000,,,286.737,351.015,0.074,0.000,15.000,17.000,60.000,74.000,,,,
1182868,,,23/01/2018,12:00:00AM,1532.000,0.000,,,835.741,696.931,0.074,0.000,101.000,141.000,42.000,25.000,,,,
1182869,,,23/01/2018,12:00:00AM,599.000,0.000,,,355.394,243.765,0.074,0.000,11.000,13.000,74.000,65.000,,,,
1182870,,,23/01/2018,12:00:00AM,2220.000,0.000,,,902.346,1317.667,0.074,0.000,102.000,140.000,91.000,90.000,,,,
1182871,,,23/01/2018,12:00:00AM,429.000,0.000,,,281.310,148.531,0.074,0.000,41.000,51.000,14.000,7.000,,,,
1182872,,,23/01/2018,12:00:00AM,1577.000,0.000,,,762.236,815.415,0.074,0.000,79.000,65.000,28.000,33.000,,,,
1182873,,,23/01/2018,12:00:00AM,225.000,0.000,,,128.652,96.791,0.074,0.000,37.000,32.000,4.000,6.000,,,,
1182874,,,23/01/2018,12:00:00AM,982.000,0.000,,,323.322,659.621,0.074,0.000,44.000,90.000,24.000,16.000,,,,
1182875,,,23/01/2018,12:00:00AM,393.000,0.000,,,228.418,165.188,0.074,0.000,145.000,153.000,3.000,1.000,,,,
1182876,,,23/01/2018,12:00:00AM,1173.000,0.000,,,790.523,382.779,0.074,0.000,239.000,21.000,39.000,58.000,,,,
1182877,,,23/01/2018,12:00:00AM,1284.000,0.000,,,468.433,816.229,0.074,0.000,26.000,15.000,87.000,85.000,,,,
1182878,,,23/01/2018,12:00:00AM,1836.000,0.000,,,858.006,978.640,0.096,0.000,248.000,259.000,2.000,2.000,,,,
1182879,,,23/01/2018,12:00:00AM,1280.000,0.000,,,557.350,723.152,0.074,0.000,195.000,177.000,11.000,17.000,,,,
1182880,,,23/01/2018,12:00:00AM,713.000,0.000,,,448.760,264.975,0.074,0.000,21.000,26.000,33.000,31.000,,,,
1182881,,,23/01/2018,12:00:00AM,1201.000,0.000,,,689.456,511.849,0.074,0.000,47.000,21.000,33.000,39.000,,,,
1182882,,,23/01/2018,12:00:00AM,1082.000,0.000,,,462.239,620.175,0.074,0.000,57.000,50.000,46.000,40.000,,,,
1182883,,,23/01/2018,12:00:00AM,593.000,0.000,,,283.655,309.399,0.074,0.000,252.000,251.000,2.000,2.000,,,,
1182884,,,23/01/2018,12:00:00AM,789.000,0.000,,,296.001,493.941,0.074,0.000,28.000,36.000,23.000,26.000,,,,
1182885,,,23/01/2018,12:00:00AM,882.000,0.000,,,283.133,599.478,0.074,0.000,30.000,105.000,15.000,14.000,,,,
1182886,,,23/01/2018,12:00:00AM,751.000,0.000,,,510.144,240.879,0.074,0.000,3.000,1.000,37.000,36.000,,,,
1182887,,,23/01/2018,12:00:00AM,690.000,0.000,,,278.176,412.178,0.074,0.000,76.000,89.000,4.000,5.000,,,,
1182888,,,23/01/2018,12:00:00AM,1762.000,0.000,,,627.792,1134.419,0.074,0.000,11.000,19.000,125.000,84.000,,,,
1182889,,,23/01/2018,12:00:00AM,1360.000,0.000,,,512.637,847.582,0.074,0.000,238.000,288.000,9.000,8.000,,,,
1182890,,,23/01/2018,12:00:00AM,2075.000,0.000,,,659.973,1415.043,0.074,0.000,28.000,121.000,38.000,19.000,,,,
1182891,,,23/01/2018,12:00:00AM,720.000,0.000,,,282.288,437.906,0.074,0.000,152.000,170.000,2.000,4.000,,,,
1182892,,,23/01/2018,12:00:00AM,1516.000,0.000,,,461.100,1055.148,0.074,0.000,47.000,147.000,32.000,29.000,,,,
