MeterID,ServiceLocationID,ESIID,ReadingDate,ReadingTime,kWh,rxKWh,KVARHImprt,KVARhExprt,kWhImprtRateA,kWhImprtRateB,kWhExprtRateA,kWhExprtRateB,kVARhImprtRateA,kVARhImprtRateB,kVARhExprtRateA,kVARhExprtRateB,kVARhTotalRateA,kVARhTotalRateB,ExprtkVARhTotalRateA,ExprtkVARhTotalRateB
1182798,,,13/01/2018,12:00:00AM,7090.000,0.000,,,3551.208,3539.058,0.074,0.000,649.000,651.000,0.000,0.000,,,,
1182799,,,13/01/2018,12:00:00AM,402.000,0.000,,,204.501,197.811,0.074,0.000,55.000,55.000,0.000,0.000,,,,
1182800,,,13/01/2018,12:00:00AM,1573.000,0.000,,,694.670,878.423,0.074,0.000,23.000,13.000,82.000,74.000,,,,
1182801,,,13/01/2018,12:00:00AM,922.000,0.000,,,599.724,322.942,0.074,0.000,139.000,123.000,14.000,7.000,,,,
1182802,,,13/01/2018,12:00:00AM,1448.000,0.000,,,444.313,1004.619,0.074,0.000,37.000,76.000,32.000,43.000,,,,
1182803,,,13/01/2018,12:00:00AM,1105.000,0.000,,,436.693,668.624,0.074,0.000,151.000,192.000,38.000,42.000,,,,
1182804,,,13/01/2018,12:00:00AM,3149.000,0.000,,,1692.389,1457.052,0.074,0.000,49.000,44.000,87.000,79.000,,,,
1182805,,,13/01/2018,12:00:00AM,2038.000,0.000,,,1026.104,1012.044,0.074,0.000,23.000,16.000,271.000,326.000,,,,
1182806,,,13/01/2018,12:00:00AM,959.000,0.000,,,403.965,555.617,0.074,0.000,62.000,53.000,31.000,84.000,,,,
1182807,,,13/01/2018,12:00:00AM,561.000,0.000,,,284.265,277.007,0.074,0.000,0.000,0.000,15.000,11.000,,,,
1182808,,,13/01/2018,12:00:00AM,6.000,0.000,,,6.436,0.017,0.074,0.000,8.000,8.000,0.000,0.000,,,,
1182809,,,13/01/2018,12:00:00AM,1976.000,0.000,,,830.016,1146.185,0.074,0.000,295.000,277.000,31.000,63.000,,,,
1182810,,,13/01/2018,12:00:00AM,1777.000,0.000,,,890.834,886.877,0.074,0.000,119.000,97.000,20.000,22.000,,,,
1182811,,,13/01/2018,12:00:00AM,538.000,0.000,,,289.276,249.693,0.074,0.000,49.000,56.000,4.000,3.000,,,,
1182812,,,13/01/2018,12:00:00AM,1939.000,0.000,,,1026.832,912.183,0.074,0.000,31.000,23.000,30.000,32.000,,,,
1182813,,,13/01/2018,12:00:00AM,811.000,0.000,,,216.379,595.020,0.074,0.000,111.000,273.000,0.000,0.000,,,,
1182814,,,13/01/2018,12:00:00AM,1002.000,0.000,,,317.264,685.105,0.074,0.000,97.000,153.000,15.000,14.000,,,,
1182815,,,13/01/2018,12:00:00AM,1964.000,0.000,,,785.317,1179.187,0.074,0.000,104.000,69.000,44.000,62.000,,,,
1182816,,,13/01/2018,12:00:00AM,1399.000,0.000,,,543.241,855.833,0.074,0.000,94.000,91.000,48.000,46.000,,,,
1182817,,,13/01/2018,12:00:00AM,800.000,0.000,,,237.335,562.852,0.074,0.000,10.000,27.000,35.000,24.000,,,,
1182818,,,13/01/2018,12:00:00AM,1086.000,0.000,,,247.345,839.093,0.074,0.000,172.000,247.000,6.000,7.000,,,,
1182819,,,13/01/2018,12:00:00AM,880.000,0.000,,,341.033,539.249,0.074,0.000,50.000,31.000,11.000,33.000,,,,
1182820,,,13/01/2018,12:00:00AM,575.000,0.000,,,294.932,280.332,0.074,0.000,187.000,179.000,1.000,1.000,,,,
1182821,,,13/01/2018,12:00:00AM,1572.000,0.000,,,860.803,711.247,0.074,0.000,58.000,9.000,160.000,220.000,,,,
1182822,,,13/01/2018,12:00:00AM,881.000,0.000,,,402.623,479.116,0.074,0.000,31.000,9.000,42.000,47.000,,,,
1182823,,,13/01/2018,12:00:00AM,763.000,0.000,,,349.836,413.914,0.074,0.000,135.000,121.000,18.000,22.000,,,,
1182824,,,13/01/2018,12:00:00AM,933.000,0.000,,,534.625,398.726,0.074,0.000,183.000,187.000,4.000,4.000,,,,
1182825,,,13/01/2018,12:00:00AM,2011.000,0.000,,,1106.723,904.575,0.074,0.000,79.000,113.000,12.000,2.000,,,,
1182826,,,13/01/2018,12:00:00AM,494.000,0.000,,,314.011,180.272,0.074,0.000,67.000,28.000,16.000,20.000,,,,
1182827,,,13/01/2018,12:00:00AM,1836.000,0.000,,,1034.083,802.826,0.074,0.000,279.000,236.000,1.000,0.000,,,,
1182828,,,13/01/2018,12:00:00AM,1445.000,0.000,,,489.517,956.145,0.074,0.000,189.000,136.000,10.000,54.000,,,,
1182829,,,13/01/2018,12:00:00AM,1565.000,0.000,,,724.555,840.991,0.074,0.000,109.000,220.000,42.000,34.000,,,,
1182830,,,13/01/2018,12:00:00AM,1691.000,0.000,,,844.586,847.028,0.074,0.000,49.000,56.000,76.000,50.000,,,,
1182831,,,13/01/2018,12:00:00AM,865.000,0.000,,,477.264,388.095,0.074,0.000,21.000,28.000,14.000,3.000,,,,
1182832,,,13/01/2018,12:00:00AM,792.000,0.000,,,357.377,435.376,0.074,0.000,4.000,1.000,188.000,197.000,,,,
1182833,,,13/01/2018,12:00:00AM,869.000,0.000,,,393.993,475.053,0.074,0.000,67.000,71.000,13.000,8.000,,,,
1182834,,,13/01/2018,12:00:00AM,753.000,0.000,,,415.945,337.491,0.074,0.000,136.000,90.000,2.000,5.000,,,,
1182835,,,13/01/2018,12:00:00AM,358.000,0.000,,,217.695,140.360,0.074,0.000,63.000,42.000,2.000,1.000,,,,
1182836,,,13/01/2018,12:00:00AM,1128.000,0.000,,,423.162,705.660,0.095,0.000,16.000,6.000,49.000,49.000,,,,
1182837,,,13/01/2018,12:00:00AM,386.000,0.000,,,183.318,202.690,0.074,0.000,81.000,68.000,2.000,3.000,,,,
1182838,,,13/01/2018,12:00:00AM,415.000,0.000,,,206.724,208.421,0.074,0.000,38.000,31.000,6.000,6.000,,,,
1182839,,,13/01/2018,12:00:00AM,1847.000,0.000,,,803.722,1044.154,0.074,0.000,231.000,282.000,21.000,17.000,,,,
1182840,,,13/01/2018,12:00:00AM,874.000,0.000,,,482.982,391.199,0.074,0.000,10.000,4.000,47.000,48.000,,,,
1182841,,,13/01/2018,12:00:00AM,552.000,0.000,,,327.342,225.444,0.074,0.000,8.000,6.000,26.000,18.000,,,,
1182842,,,13/01/2018,12:00:00AM,2031.000,0.000,,,970.930,1060.771,0.074,0.000,42.000,34.000,96.000,90.000,,,,
1182844,,,13/01/2018,12:00:00AM,681.000,0.000,,,374.959,306.300,0.074,0.000,196.000,219.000,1.000,1.000,,,,
1182845,,,13/01/2018,12:00:00AM,1501.000,0.000,,,709.096,792.144,0.074,0.000,51.000,17.000,76.000,107.000,,,,
1182846,,,13/01/2018,12:00:00AM,767.000,0.000,,,266.143,501.462,0.074,0.000,22.000,39.000,19.000,26.000,,,,
1182847,,,13/01/2018,12:00:00AM,1400.000,0.000,,,566.976,833.242,0.074,0.000,34.000,22.000,85.000,148.000,,,,
1182848,,,13/01/2018,12:00:00AM,1862.000,0.000,,,729.554,1133.363,0.074,0.000,138.000,220.000,6.000,5.000,,,,
1182849,,,13/01/2018,12:00:00AM,914.000,0.000,,,475.084,439.514,0.074,0.000,47.000,66.000,15.000,11.000,,,,
1182850,,,13/01/2018,12:00:00AM,1588.000,0.000,,,646.488,941.555,0.074,0.000,118.000,225.000,6.000,5.000,,,,
1182851,,,13/01/2018,12:00:00AM,1293.000,0.000,,,651.768,642.127,0.074,0.000,162.000,305.000,5.000,5.000,,,,
1182852,,,13/01/2018,12:00:00AM,1341.000,0.000,,,615.710,725.779,0.074,0.000,66.000,85.000,122.000,106.000,,,,
1182853,,,13/01/2018,12:00:00AM,553.000,0.000,,,233.994,319.460,0.074,0.000,79.000,99.000,4.000,1.000,,,,
1182854,,,13/01/2018,12:00:00AM,380.000,0.000,,,194.040,186.822,0.074,0.000,252.000,251.000,0.000,0.000,,,,
1182855,,,13/01/2018,12:00:00AM,946.000,0.000,,,494.052,452.866,0.074,0.000,14.000,11.000,38.000,21.000,,,,
1182856,,,13/01/2018,12:00:00AM,1233.000,0.000,,,677.862,555.461,0.074,0.000,85.000,47.000,8.000,26.000,,,,
1182857,,,13/01/2018,12:00:00AM,760.000,0.000,,,309.457,451.145,0.074,0.000,38.000,49.000,24.000,31.000,,,,
1182858,,,13/01/2018,12:00:00AM,1419.000,0.000,,,722.670,697.000,0.074,0.000,190.000,207.000,30.000,13.000,,,,
1182859,,,13/01/2018,12:00:00AM,1654.000,0.000,,,778.333,875.824,0.074,0.000,10.000,18.000,217.000,204.000,,,,
1182860,,,13/01/2018,12:00:00AM,763.000,0.000,,,278.103,485.588,0.074,0.000,152.000,183.000,11.000,14.000,,,,
1182861,,,13/01/2018,12:00:00AM,1755.000,0.000,,,968.357,786.671,0.074,0.000,58.000,86.000,56.000,43.000,,,,
1182862,,,13/01/2018,12:00:00AM,1111.000,0.000,,,548.332,563.323,0.074,0.000,129.000,152.000,45.000,38.000,,,,
1182863,,,13/01/2018,12:00:00AM,436.000,0.000,,,311.094,125.318,0.074,0.000,50.000,50.000,7.000,1.000,,,,
1182864,,,13/01/2018,12:00:00AM,1297.000,0.000,,,593.496,703.561,0.074,0.000,242.000,244.000,5.000,4.000,,,,
1182865,,,13/01/2018,12:00:00AM,610.000,0.000,,,287.084,323.844,0.074,0.000,77.000,86.000,20.000,19.000,,,,
1182866,,,13/01/2018,12:00:00AM,1187.000,0.000,,,541.115,646.063,0.074,0.000,55.000,56.000,64.000,51.000,,,,
1182867,,,13/01/2018,12:00:00AM,603.000,0.000,,,268.038,335.329,0.074,0.000,14.000,15.000,55.000,69.000,,,,
1182868,,,13/01/2018,12:00:00AM,1450.000,0.000,,,782.536,667.834,0.074,0.000,94.000,133.000,40.000,23.000,,,,
1182869,,,13/01/2018,12:00:00AM,568.000,0.000,,,335.418,233.293,0.074,0.000,11.000,13.000,67.000,59.000,,,,
1182870,,,13/01/2018,12:00:00AM,2112.000,0.000,,,844.079,1268.752,0.074,0.000,98.000,140.000,83.000,80.000,,,,
1182871,,,13/01/2018,12:00:00AM,404.000,0.000,,,263.912,140.482,0.074,0.000,38.000,48.000,13.000,7.000,,,,
1182872,,,13/01/2018,12:00:00AM,1534.000,0.000,,,737.650,797.041,0.074,0.000,76.000,64.000,25.000,29.000,,,,
1182873,,,13/01/2018,12:00:00AM,194.000,0.000,,,116.594,77.487,0.074,0.000,35.000,29.000,2.000,3.000,,,,
1182874,,,13/01/2018,12:00:00AM,959.000,0.000,,,311.142,647.979,0.074,0.000,41.000,88.000,21.000,14.000,,,,
1182875,,,13/01/2018,12:00:00AM,370.000,0.000,,,214.540,156.379,0.074,0.000,136.000,144.000,3.000,1.000,,,,
1182876,,,13/01/2018,12:00:00AM,1090.000,0.000,,,733.613,356.396,0.074,0.000,221.000,18.000,36.000,53.000,,,,
1182877,,,13/01/2018,12:00:00AM,1089.000,0.000,,,436.061,653.828,0.074,0.000,25.000,12.000,81.000,80.000,,,,
1182878,,,13/01/2018,12:00:00AM,1769.000,0.000,,,824.251,945.635,0.096,0.000,237.000,248.000,1.000,2.000,,,,
1182879,,,13/01/2018,12:00:00AM,1229.000,0.000,,,532.634,696.964,0.074,0.000,184.000,165.000,10.000,16.000,,,,
1182880,,,13/01/2018,12:00:00AM,663.000,0.000,,,413.932,250.010,0.074,0.000,20.000,24.000,30.000,28.000,,,,
1182881,,,13/01/2018,12:00:00AM,1116.000,0.000,,,642.603,473.535,0.074,0.000,42.000,19.000,30.000,37.000,,,,
1182882,,,13/01/2018,12:00:00AM,1035.000,0.000,,,440.848,594.858,0.074,0.000,53.000,49.000,42.000,37.000,,,,
1182883,,,13/01/2018,12:00:00AM,569.000,0.000,,,271.283,297.736,0.074,0.000,239.000,239.000,2.000,2.000,,,,
1182884,,,13/01/2018,12:00:00AM,751.000,0.000,,,281.413,470.142,0.074,0.000,26.000,32.000,21.000,25.000,,,,
1182885,,,13/01/2018,12:00:00AM,815.000,0.000,,,265.265,549.812,0.074,0.000,28.000,98.000,13.000,13.000,,,,
1182886,,,13/01/2018,12:00:00AM,711.000,0.000,,,489.273,222.601,0.074,0.000,3.000,1.000,35.000,33.000,,,,
1182887,,,13/01/2018,12:00:00AM,651.000,0.000,,,257.398,393.874,0.074,0.000,70.000,86.000,3.000,4.000,,,,
1182888,,,13/01/2018,12:00:00AM,1686.000,0.000,,,593.336,1092.827,0.074,0.000,10.000,18.000,115.000,76.000,,,,
1182889,,,13/01/2018,12:00:00AM,1292.000,0.000,,,486.092,806.848,0.074,0.000,226.000,275.000,8.000,7.000,,,,
1182890,,,13/01/2018,12:00:00AM,1913.000,0.000,,,613.888,1299.373,0.074,0.000,26.000,115.000,35.000,17.000,,,,
1182891,,,13/01/2018,12:00:00AM,665.000,0.000,,,260.239,405.536,0.074,0.000,144.000,160.000,2.000,4.000,,,,
1182892,,,13/01/2018,12:00:00AM,1337.000,0.000,,,412.227,925.375,0.074,0.000,42.000,134.000,31.000,27.000,,,,
1182893,,,13/01/2018,12:00:00AM,1209.000,0.000,,,535.683,673.666,0.074,0.000,93.000,116.000,26.000,22.000,,,,
1182894,,,13/01/2018,12:00:00AM,1225.000,0.000,,,697.945,527.854,0.074,0.000,21.000,51.000,74.000,55.000,,,,
1182895,,,13/01/2018,12:00:00AM,764.000,0.000,,,288.656,476.203,0.074,0.000,49.000,38.000,9.000,11.000,,,,
1182896,,,13/01/2018,12:00:00AM,1350.000,0.000,,,530.312,820.428,0.074,0.000,98.000,235.000,41.000,30.000,,,,
1182897,,,13/01/2018,12:00:00AM,805.000,0.000,,,396.371,409.530,0.074,0.000,95.000,97.000,13.000,13.000,,,,
